"番号","投与区分","厚労省コード","医薬品名","一般名","規格単位","会社名","薬価","旧薬価","先発・後発","規制区分","経過措置日","HOT番号","レセ電算コード(1)","置き換え率","一般名処方マスタ","YJコード","薬効87分類","拡張薬効分類","成分名","販売中止予定日"
"555","内","2590010F3018","シロドシンOD錠2mg「DSEP」","シロドシン2mg口腔内崩壊錠","2mg1錠","第一三共エスファ","10.80","10.40","後発品","劇処","","126681801","622668101","3","あり","2590010F3034","泌尿生殖器官及び肛門用薬－その他の泌尿生殖器官及び肛門用薬－その他","前立腺肥大症用薬-内用(α1遮断薬)","シロドシン","-"
"556","内","2590011F3063","ソリフェナシンコハク酸塩OD錠2.5mg「ニプロ」","コハク酸ソリフェナシン口腔内崩壊錠","2.5mg1錠","ニプロ","17.30","19.70","後発品","処","","128660101","622866001","3","あり","2590011F3063","泌尿生殖器官及び肛門用薬－その他の泌尿生殖器官及び肛門用薬－その他","頻尿・尿失禁治療薬-内用(ムスカリン受容体拮抗薬)","コハク酸ソリフェナシン","-"
"557","内","2590014F1021","ベタニス錠25mg","ミラベグロン錠","25mg1錠","アステラス","80.90","83.80","先発品","劇処","","120932701","622093201","1","なし","2590014F1021","泌尿生殖器官及び肛門用薬－その他の泌尿生殖器官及び肛門用薬－その他","頻尿・尿失禁治療薬-内用(β刺激薬)","ミラベグロン","-"
"558","内","2590014F2028","ベタニス錠50mg","ミラベグロン錠","50mg1錠","アステラス","136.80","141.70","先発品","劇処","","120933401","622093301","1","なし","2590014F2028","泌尿生殖器官及び肛門用薬－その他の泌尿生殖器官及び肛門用薬－その他","頻尿・尿失禁治療薬-内用(β刺激薬)","ミラベグロン","-"
"559","内","2590015G1021","トビエース錠4mg","フェソテロジンフマル酸塩徐放錠","4mg1錠","ファイザー","128.30","135.00","先発品","処","","122251701","622225101","1","なし","2590015G1021","泌尿生殖器官及び肛門用薬－その他の泌尿生殖器官及び肛門用薬－その他","頻尿・尿失禁治療薬-内用(ムスカリン受容体拮抗薬)","フェソテロジンフマル酸塩","-"
"560","内","2590015G2028","トビエース錠8mg","フェソテロジンフマル酸塩徐放錠","8mg1錠","ファイザー","190.20","200.80","先発品","処","","122252401","622225201","1","なし","2590015G2028","泌尿生殖器官及び肛門用薬－その他の泌尿生殖器官及び肛門用薬－その他","頻尿・尿失禁治療薬-内用(ムスカリン受容体拮抗薬)","フェソテロジンフマル酸塩","-"
"561","内","2590016F7029","シアリス錠20mg","タダラフィル錠","20mg1錠","日本新薬","1288.90","1300.60","先発品","処","","187110402","628711002","1","なし","2590016F7029","泌尿生殖器官及び肛門用薬－その他の泌尿生殖器官及び肛門用薬－その他","勃起不全治療薬","タダラフィル","-"
"562","内","2590017F1025","ベオーバ錠50mg","ビベグロン錠","50mg1錠","杏林=キッセイ","139.90","146.10","先発品","処","","126530902","622653001","1","なし","2590017F1025","泌尿生殖器官及び肛門用薬－その他の泌尿生殖器官及び肛門用薬－その他","頻尿・尿失禁治療薬-内用(β刺激薬)","ビベグロン","-"
"563","内","2590018F1020","バイアグラ錠25mg","シルデナフィルクエン酸塩錠","25mg1錠","ヴィアトリス","684.20","775.00","先発品","処","","187006003","628700602","1","なし","2590018F1020","泌尿生殖器官及び肛門用薬－その他の泌尿生殖器官及び肛門用薬－その他","勃起不全治療薬","シルデナフィルクエン酸塩","-"
"564","内","2590018F2026","バイアグラ錠50mg","シルデナフィルクエン酸塩錠","50mg1錠","ヴィアトリス","927.40","1150.20","先発品","処","","187007703","628700702","1","なし","2590018F2026","泌尿生殖器官及び肛門用薬－その他の泌尿生殖器官及び肛門用薬－その他","勃起不全治療薬","シルデナフィルクエン酸塩","-"
"565","内","2590100X2046","エビプロスタット配合錠DB","オオウメガサソウエキス・ハコヤナギエキス配合剤(2)錠","1錠","日本新薬","22.30","25.50","準先発","","","118291001","620007996","","あり","2590100X2046","泌尿生殖器官及び肛門用薬－その他の泌尿生殖器官及び肛門用薬－その他","前立腺肥大症用薬-内用(植物成分)","オオウメガサソウエキス・ハコヤナギエキス配合剤","-"
"566","内","2699003F1024","レクチゾール錠25mg","ジアフェニルスルホン錠","25mg1錠","田辺ファーマ","76.30","76.30","先発品","処","","106675302","612690004","","なし","2699003F1024","外皮用薬－その他の外皮用薬－その他","ハンセン病治療薬,抗菌薬-内用(その他)","ジアフェニルスルホン","-"
"567","内","2900001F1029","セファランチン錠1mg","セファランチン錠","1mg1錠","メディサ=化研生薬","6.30","6.20","","","","106728601","612900052","","なし","2900001F1029","その他の個々の器官系用医薬品－その他の個々の器官系用医薬品－その他","毛髪用剤,白血球減少治療薬-内用","セファランチン","-"
"568","内","3111002F1036","チョコラA錠1万単位","ビタミンA錠","10,000単位1錠","アルフレッサファーマ=エーザイ","7.10","7.40","","","","106749101","620004528","","なし","3111002F1036","ビタミン剤－ビタミンA及びD剤－合成ビタミンA製剤","ビタミンA剤-内用","ビタミンA","-"
"569","内","3112001F2060","アルファカルシドール錠0.5μg「アメル」","アルファカルシドール錠","0.5μg1錠","共和薬品","6.30","6.10","後発品","劇","","106756901","620675601","3","あり","3112001F2060","ビタミン剤－ビタミンA及びD剤－合成ビタミンD製剤","骨代謝改善薬-内用(ビタミンD剤)","アルファカルシドール","-"
"570","内","3119001M1020","チガソンカプセル10","エトレチナートカプセル","10mg1カプセル","太陽ファルマ","502.20","467.70","先発品","劇処","","106792703","613990072","","なし","3119001M1020","ビタミン剤－ビタミンA及びD剤－その他","ビタミンA剤-内用","エトレチナート","-"
"571","内","3122007F1024","5mgアリナミンF糖衣錠","フルスルチアミン錠","5mg1錠","T's製薬=武田","6.30","6.10","","","","106824501","613120003","","なし","3122007F1024","ビタミン剤－ビタミンB1剤－ビタミンB1誘導体製剤","ビタミンB1剤-内用","フルスルチアミン","-"
"572","内","3122007F2039","25mgアリナミンF糖衣錠","フルスルチアミン錠","25mg1錠","T's製薬=武田","6.30","6.10","準先発","","","106826901","613120001","","あり","3122007F2039","ビタミン剤－ビタミンB1剤－ビタミンB1誘導体製剤","ビタミンB1剤-内用","フルスルチアミン","-"
"573","内","3132002B1034","ニコチン酸アミド散10%「ゾンネ」","ニコチン酸アミド散","10%1g","NISSHAゾンネ","10.70","10.70","","","","106956302","620007009","","なし","3132002B1034","ビタミン剤－ビタミンB剤（ビタミンB1剤を除く。）－ニコチン酸系製剤","ニコチン酸製剤-内用","ニコチン酸アミド","-"
"574","内","3133001B1193","パントシン散20%","パンテチン散","20%1g","アルフレッサファーマ","10.00","11.10","準先発","","","106960003","610454063","","あり","3133001B1193","ビタミン剤－ビタミンB剤（ビタミンB1剤を除く。）－パントテン酸系製剤","高脂血症用薬-内用(パントテン酸製剤)","パンテチン","-"
"575","内","3133001F3090","パントシン錠100","パンテチン錠","100mg1錠","アルフレッサファーマ","6.30","6.10","準先発","","","106979203","613130222","","あり","3133001F3090","ビタミン剤－ビタミンB剤（ビタミンB1剤を除く。）－パントテン酸系製剤","高脂血症用薬-内用(パントテン酸製剤)","パンテチン","-"
"576","内","3133001F4020","パントシン錠200","パンテチン錠","200mg1錠","アルフレッサファーマ","8.90","10.80","","","","106982203","613130504","","なし","3133001F4020","ビタミン剤－ビタミンB剤（ビタミンB1剤を除く。）－パントテン酸系製剤","高脂血症用薬-内用(パントテン酸製剤)","パンテチン","-"
"577","内","3134003F1388","ピドキサール錠10mg","ピリドキサールリン酸エステル水和物錠","10mg1錠","太陽ファルマ","6.30","5.90","","","","107013202","610463157","","あり","3134003F1388","ビタミン剤－ビタミンB剤（ビタミンB1剤を除く。）－ビタミンB6剤","ビタミンB6剤-内用","ピリドキサールリン酸エステル水和物","-"
"578","内","3134003F2147","ピドキサール錠20mg","ピリドキサールリン酸エステル水和物錠","20mg1錠","太陽ファルマ","6.30","6.10","準先発","","","107029302","610463158","","あり","3134003F2147","ビタミン剤－ビタミンB剤（ビタミンB1剤を除く。）－ビタミンB6剤","ビタミンB6剤-内用","ピリドキサールリン酸エステル水和物","-"
"579","内","3135001F1017","フォリアミン錠","葉酸錠","5mg1錠","富士製薬","10.80","10.10","","","","107064403","613130585","","なし","3135001F1025","ビタミン剤－ビタミンB剤（ビタミンB1剤を除く。）－葉酸製剤","葉酸-内用","葉酸","-"
"580","内","3136004F2138","メチコバール錠500μg","メコバラミン錠","0.5mg1錠","エーザイ","10.80","10.40","後発品","","","107087301","613130595","3","あり","3136004F2138","ビタミン剤－ビタミンB剤（ビタミンB1剤を除く。）－ビタミンB12剤","ビタミンB12剤-内用","メコバラミン","-"
"581","内","3140001X1012","アスコルビン酸「ケンエー」","アスコルビン酸","1g","健栄","8.00","7.70","","","","107122109","620000709","","なし","3140001X1144","ビタミン剤－ビタミンC剤－ビタミンC製剤","ビタミンC剤-内用","アスコルビン酸","-"
"582","内","3140002D1037","ハイシー顆粒25%","アスコルビン酸顆粒","25%1g","T's製薬=武田","6.90","6.50","","","","107123801","610454055","","なし","3140002D1037","ビタミン剤－ビタミンC剤－ビタミンC製剤","ビタミンC剤-内用","アスコルビン酸","-"
"583","内","3150002F1239","ユベラ錠50mg","トコフェロール酢酸エステル錠","50mg1錠","アルフレッサファーマ=エーザイ","6.30","5.90","","","","107139901","620003638","","あり","3150002F1239","ビタミン剤－ビタミンE剤－ビタミンE製剤","末梢循環改善薬-内用(ビタミン剤)","トコフェロール酢酸エステル","-"
"584","内","3160001F1320","ケーワン錠5mg","フィトナジオン錠","5mg1錠","エーザイ","6.40","8.00","準先発","","","107151101","620004982","","あり","3160001F1320","ビタミン剤－ビタミンK剤－ビタミンK製剤","止血薬-内用(凝固促進薬-ビタミンK)","フィトナジオン","-"
"585","内","3160002M2028","グラケーカプセル15mg","メナテトレノンカプセル","15mg1カプセル","エーザイ","11.90","14.40","先発○","","","107161001","610407141","2","あり","3160002M2028","ビタミン剤－ビタミンK剤－ビタミンK製剤","骨代謝改善薬-内用(ビタミンK)","メナテトレノン","-"
"586","内","3179115D1096","シナール配合顆粒","アスコルビン酸・パントテン酸カルシウム(1)顆粒","1g","シオノギファーマ=塩野義","6.90","6.50","","","","107209901","620720901","","あり","3179115D1096","ビタミン剤－混合ビタミン剤（ビタミンA・D混合製剤を除く。）－VB2・VB6複合剤","パントテン酸-内用,ビタミンC剤-内用,ビタミンC・パントテン酸複合薬","アスコルビン酸・パントテン酸カルシウム","-"
"587","内","3179115F2034","シナール配合錠","アスコルビン酸・パントテン酸カルシウム(1)錠","1錠","シオノギファーマ=塩野義","10.80","6.40","","","","107213601","620721301","","なし","3179115F2034","ビタミン剤－混合ビタミン剤（ビタミンA・D混合製剤を除く。）－VB2・VB6複合剤","パントテン酸-内用,ビタミンC剤-内用,ビタミンC・パントテン酸複合薬","アスコルビン酸・パントテン酸カルシウム","-"
"588","内","3179121A1028","調剤用パンビタン末","レチノール・カルシフェロール配合剤","1g","T's製薬=武田","8.50","6.50","","","","107220401","613180067","","なし","3179121A1028","ビタミン剤－混合ビタミン剤（ビタミンA・D混合製剤を除く。）－VB2・VB6複合剤","総合ビタミン剤-内用","レチノール・カルシフェロール配合剤","-"
"589","内","3190001B1050","ビオチン散0.2%「ホエイ」","ビオチン散","0.2%1g","東洋製化=ヴィアトリス","6.90","6.70","","","","107261703","620006073","","なし","3190001B1050","ビタミン剤－その他のビタミン剤－その他","ビオチン製剤-内用","ビオチン","-"
"590","内","3211001X1016","乳酸カルシウム水和物「ケンエー」原末","乳酸カルシウム水和物","10g","健栄","38.40","38.40","","","","107266209","620726609","","なし","3211001X1300","滋養強壮薬－カルシウム剤－乳酸カルシウム製剤","カルシウム補強薬-内用","乳酸カルシウム水和物","-"
"591","内","3214001F1020","アスパラ-CA錠200","L-アスパラギン酸カルシウム水和物錠","200mg1錠","ニプロ","6.30","5.90","","","","107273003","613210001","","あり","3214001F1020","滋養強壮薬－カルシウム剤－有機酸カルシウム製剤（乳酸・グリセロリン酸・グルコン酸カルシウム製剤を除く。）","骨代謝改善薬-内用(カルシウム剤),カルシウム補強薬-内用","L-アスパラギン酸カルシウム水和物","-"
"592","内","3219100F1020","デノタスチュアブル配合錠","沈降炭酸カルシウム・コレカルシフェロール・炭酸マグネシウムチュアブル錠","1錠","日東薬品=第一三共","10.90","11.30","先発品","","","122394101","622239401","1","なし","3219100F1020","滋養強壮薬－カルシウム剤－その他","カルシウム補強薬-内用","沈降炭酸カルシウム・コレカルシフェロール・炭酸マグネシウム","-"
"593","内","3221001X1055","ヨウ化カリウム「コザカイ・M」","ヨウ化カリウム","1g","小堺=日興製薬販売","11.30","11.30","","劇","","107281520","610408585","","なし","3221001X1055","滋養強壮薬－無機質製剤－ヨウ素化合物製剤","去痰薬-内用(塩類去痰薬),ヨウ素補強薬","ヨウ化カリウム","-"
"594","内","3221002L1074","ヨウ化カリウム丸50mg「日医工」","ヨウ化カリウム丸","50mg1丸","日医工","6.30","5.90","","","","115010002","621501001","","なし","3221002L1074","滋養強壮薬－無機質製剤－ヨウ素化合物製剤","去痰薬-内用(塩類去痰薬),ヨウ素補強薬","ヨウ化カリウム","-"
"595","内","3222007G1033","フェロ・グラデュメット錠105mg","乾燥硫酸鉄(3)徐放錠","105mg1錠","ヴィアトリス","6.30","6.10","","","","107291404","620729101","","なし","3222007G1033","滋養強壮薬－無機質製剤－鉄化合物製剤（有機酸鉄を含む。）","造血薬-内用(鉄剤)","乾燥硫酸鉄","-"
"596","内","3222012Q1030","インクレミンシロップ5%","溶性ピロリン酸第二鉄シロップ","1mL","アルフレッサファーマ","7.10","6.40","後発品","","","107294502","620005924","3","あり","3222012Q1030","滋養強壮薬－無機質製剤－鉄化合物製剤（有機酸鉄を含む。）","造血薬-内用(鉄剤)","溶性ピロリン酸第二鉄","-"
"597","内","3222013F1149","クエン酸第一鉄Na錠50mg「JG」","クエン酸第一鉄ナトリウム錠","鉄50mg1錠","日本ジェネリック","6.30","6.20","★","","","122886101","622288601","★","あり","3222013F1149","滋養強壮薬－無機質製剤－鉄化合物製剤（有機酸鉄を含む。）","造血薬-内用(鉄剤)","クエン酸第一鉄ナトリウム","-"
"598","内","3229005F1080","アスパラカリウム錠300mg","L-アスパラギン酸カリウム錠","300mg1錠","ニプロ","6.30","6.10","","","","107319503","620004902","","なし","3229005F1080","滋養強壮薬－無機質製剤－その他","カリウム薬-内用","L-アスパラギン酸カリウム","-"
"599","内","3229007C1032","グルコンサンK細粒4mEq/g","グルコン酸カリウム細粒","カリウム4mEq1g","サンファーマ","6.90","6.70","先発品","","","107321802","620006893","1","なし","3229007C1032","滋養強壮薬－無機質製剤－その他","カリウム薬-内用","グルコン酸カリウム","-"
"600","内","3229101D2035","ソリタ-T配合顆粒3号","ナトリウム・カリウム・マグネシウム配合剤(2)顆粒","4g1包","エイワイファーマ=陽進堂","33.90","33.90","","","","115082703","621508201","","なし","3229101D2035","滋養強壮薬－無機質製剤－その他","経口電解質補給剤","ナトリウム・カリウム・マグネシウム配合剤","-"
"601","内","3229103D1020","ホスリボン配合顆粒","リン酸二水素ナトリウム一水和物・無水リン酸水素二ナトリウム顆粒","100mg1包(リンとして)","ゼリア","67.70","71.10","先発品","処","","122256201","622225601","1","なし","3229103D1020","滋養強壮薬－無機質製剤－その他","リン補充剤","リン酸二水素ナトリウム一水和物・無水リン酸水素二ナトリウム","-"
"602","内","3231001X1060","ブドウ糖「コザカイ・M」","ブドウ糖","10g","小堺=吉田製薬","8.90","8.90","","","","107342329","610408647","","なし","3231001X1060","滋養強壮薬－糖類剤－ブドウ糖製剤","糖類薬-内用,診断用薬(その他)","ブドウ糖","-"
"603","内","3253001D1036","アミユー配合顆粒","総合アミノ酸製剤(1)顆粒","2.5g1包","EAファーマ=陽進堂","62.90","62.90","先発品","","","107477204","620747701","","なし","3253001D1036","滋養強壮薬－たん白アミノ酸製剤－混合アミノ酸製剤","アミノ酸製剤-内用","総合アミノ酸製剤","-"
"604","内","3253002D1030","ESポリタミン配合顆粒","総合アミノ酸製剤(2)顆粒","1g","EAファーマ","29.60","25.20","","","","107478902","620747801","","なし","3253002D1030","滋養強壮薬－たん白アミノ酸製剤－混合アミノ酸製剤","経口混合アミノ酸製剤","総合アミノ酸製剤","-"
"605","内","3253003D2031","リーバクト配合顆粒","イソロイシン・ロイシン・バリン顆粒","4.15g1包","EAファーマ","134.00","134.00","先発品","","","115602701","621560201","","なし","3253003D2031","滋養強壮薬－たん白アミノ酸製剤－混合アミノ酸製剤","アミノ酸製剤-内用","イソロイシン・ロイシン・バリン","-"
"606","内","3259103B1036","エレンタール配合内用剤","経腸成分栄養剤(1-1)散","10g","EAファーマ","58.60","58.60","先発品","","","107543403","620754301","","なし","3259103B1036","滋養強壮薬－たん白アミノ酸製剤－動物製剤","経腸成分栄養剤","経腸成分栄養剤","-"
"607","内","3259108B1039","アミノレバンEN配合散","肝不全用成分栄養剤(1)散","10g","大塚製薬","88.80","88.80","先発品","","","107547201","620754701","","なし","3259108B1039","滋養強壮薬－たん白アミノ酸製剤－動物製剤","肝不全用成分栄養剤","肝不全用成分栄養剤","-"
"608","内","3259109S1025","エンシュア・リキッド","経腸成分栄養剤(2-1)液","10mL","アボット","7.10","7.10","先発品","","","107548902","613250027","","なし","3259109S1025","滋養強壮薬－たん白アミノ酸製剤－動物製剤","経腸成分栄養剤","経腸成分栄養剤","-"
"609","内","3259111A1035","ヘパンED配合内用剤","肝不全用成分栄養剤(2)散","10g","EAファーマ","32.30","42.30","先発品","","","107550203","620755001","1","なし","3259111A1035","滋養強壮薬－たん白アミノ酸製剤－動物製剤","肝不全用成分栄養剤","肝不全用成分栄養剤","-"
"610","内","3259114S1026","エンシュア・H","経腸成分栄養剤(2-2)液","10mL","アボット","9.10","9.10","先発品","","","107553302","610407025","1","なし","3259114S1026","滋養強壮薬－たん白アミノ酸製剤－動物製剤","経腸成分栄養剤","経腸成分栄養剤","-"
"611","内","3259118S1024","ラコールNF配合経腸用液","経腸成分栄養剤(9-2)液","10mL","EN大塚=大塚工場=大塚製薬","10.70","10.70","先発品","","","120709501","622070901","1","なし","3259118S1024","滋養強壮薬－たん白アミノ酸製剤－動物製剤","経腸成分栄養剤","経腸成分栄養剤","-"
"612","内","3259119S1029","エネーボ配合経腸用液","経腸成分栄養剤(10)液","10mL","アボット","8.30","8.30","先発品","","","123070301","622307001","1","なし","3259119S1029","滋養強壮薬－たん白アミノ酸製剤－動物製剤","経腸成分栄養剤","経腸成分栄養剤","-"
"613","内","3259120S1021","イノラス配合経腸用液","経腸成分栄養剤(11)液","10mL","EN大塚=大塚工場=大塚製薬","13.90","14.10","先発品","","","126764801","622676401","1","なし","3259120S1021","滋養強壮薬－たん白アミノ酸製剤－動物製剤","経腸成分栄養剤","経腸成分栄養剤","-"
"614","内","3259121T1021","イノソリッド配合経腸用半固形剤","経腸成分栄養剤(12)半固形剤","10g","EN大塚=大塚工場=大塚製薬","14.30","14.40","先発品","","","129527601","622952701","1","なし","3259121T1021","滋養強壮薬－たん白アミノ酸製剤－動物製剤","経腸成分栄養剤","経腸成分栄養剤","-"
"615","内","3321002F1092","アドナ錠10mg","カルバゾクロムスルホン酸ナトリウム水和物錠","10mg1錠","ニプロ","6.30","6.10","準先発","","","107984503","620002505","","あり","3321002F1092","血液・体液用薬－止血剤－カルバゾクロム系製剤","止血薬-内用(血管強化薬)","カルバゾクロムスルホン酸ナトリウム水和物","-"
"616","内","3321002F2366","アドナ錠30mg","カルバゾクロムスルホン酸ナトリウム水和物錠","30mg1錠","ニプロ","7.20","7.70","準先発","","","107986903","620002506","","あり","3321002F2366","血液・体液用薬－止血剤－カルバゾクロム系製剤","止血薬-内用(血管強化薬)","カルバゾクロムスルホン酸ナトリウム水和物","-"
"617","内","3323001C1061","経口用トロンビン細粒1万単位","トロンビン細粒","10,000単位1g1包","持田","1515.30","1268.60","","処","","108026101","620004483","","なし","3323001C1061","血液・体液用薬－止血剤－臓器性止血製剤","止血薬-内用(凝固促進薬-トロンビン)","トロンビン","-"
"618","内","3327002B1027","トランサミン散50%","トラネキサム酸散","50%1g","第一三共","8.50","10.30","","","","115143502","610463119","","なし","3327002B1027","血液・体液用薬－止血剤－抗プラスミン剤","抗アレルギー薬(その他)-内用,止血薬-内用(抗プラスミン薬)","トラネキサム酸","-"
"619","内","3327002F1010","トラネキサム酸錠250mg「YD」","トラネキサム酸250mg錠","250mg1錠","陽進堂","10.80","10.40","後発品","","","108066702","620005047","3","あり","3327002F1169","血液・体液用薬－止血剤－抗プラスミン剤","抗アレルギー薬(その他)-内用,止血薬-内用(抗プラスミン薬)","トラネキサム酸","-"
"620","内","3332001F1016","ワーファリン錠1mg","ワルファリンカリウム錠","1mg1錠","エーザイ","10.80","10.40","","処","","108115201","613330003","","なし","3332001F1024","血液・体液用薬－血液凝固阻止剤－ジクマロール系製剤","血液凝固阻止薬-内用(クマリン系)","ワルファリンカリウム","-"
"621","内","3332001F2012","ワーファリン錠5mg","ワルファリンカリウム錠","5mg1錠","エーザイ","10.80","10.40","","処","","108116901","613330004","","なし","3332001F2020","血液・体液用薬－血液凝固阻止剤－ジクマロール系製剤","血液凝固阻止薬-内用(クマリン系)","ワルファリンカリウム","-"
"622","内","3332001F3019","ワーファリン錠0.5mg","ワルファリンカリウム錠","0.5mg1錠","エーザイ","10.80","10.40","","処","","114805303","620002332","","なし","3332001F3035","血液・体液用薬－血液凝固阻止剤－ジクマロール系製剤","血液凝固阻止薬-内用(クマリン系)","ワルファリンカリウム","-"
"623","内","3339001M1024","プラザキサカプセル75mg","ダビガトランエテキシラートメタンスルホン酸塩カプセル","75mg1カプセル","日本ベーリンガー","65.20","122.40","先発品","処","","120433901","622043301","1","なし","3339001M1024","血液・体液用薬－血液凝固阻止剤－その他","直接経口抗凝固剤(抗トロンビン薬)","ダビガトランエテキシラートメタンスルホン酸塩","-"
"624","内","3339001M2020","プラザキサカプセル110mg","ダビガトランエテキシラートメタンスルホン酸塩カプセル","110mg1カプセル","日本ベーリンガー","119.00","216.30","先発品","処","","120434601","622043401","1","なし","3339001M2020","血液・体液用薬－血液凝固阻止剤－その他","直接経口抗凝固剤(抗トロンビン薬)","ダビガトランエテキシラートメタンスルホン酸塩","-"
"625","内","3339002F4029","リクシアナOD錠15mg","エドキサバントシル酸塩水和物口腔内崩壊錠","15mg1錠","第一三共","180.30","224.70","先発品","処","","125760101","622576001","1","なし","3339002F4029","血液・体液用薬－血液凝固阻止剤－その他","直接経口抗凝固剤(抗Xa薬)","エドキサバントシル酸塩水和物","-"
"626","内","3339002F5025","リクシアナOD錠30mg","エドキサバントシル酸塩水和物口腔内崩壊錠","30mg1錠","第一三共","330.10","411.30","先発品","処","","125761801","622576101","1","なし","3339002F5025","血液・体液用薬－血液凝固阻止剤－その他","直接経口抗凝固剤(抗Xa薬)","エドキサバントシル酸塩水和物","-"
"627","内","3339002F6021","リクシアナOD錠60mg","エドキサバントシル酸塩水和物口腔内崩壊錠","60mg1錠","第一三共","334.50","416.80","先発品","処","","125762501","622576201","1","なし","3339002F6021","血液・体液用薬－血液凝固阻止剤－その他","直接経口抗凝固剤(抗Xa薬)","エドキサバントシル酸塩水和物","-"
"628","内","3339003F3078","リバーロキサバンOD錠10mg「日医工」","リバーロキサバン口腔内崩壊錠","10mg1錠","日医工","143.00","161.30","後発品","処","","129760701","622976001","3","あり","3339003F3078","血液・体液用薬－血液凝固阻止剤－その他","直接経口抗凝固剤(抗Xa薬)","リバーロキサバン","-"
"629","内","3339004F1029","エリキュース錠2.5mg","アピキサバン錠","2.5mg1錠","BMS=ファイザー","111.60","114.70","先発品","処","","122249402","622224901","1","なし","3339004F1029","血液・体液用薬－血液凝固阻止剤－その他","直接経口抗凝固剤(抗Xa薬)","アピキサバン","-"
"630","内","3339004F2025","エリキュース錠5mg","アピキサバン錠","5mg1錠","BMS=ファイザー","201.00","207.00","先発品","処","","122250002","622225001","1","なし","3339004F2025","血液・体液用薬－血液凝固阻止剤－その他","直接経口抗凝固剤(抗Xa薬)","アピキサバン","-"
"631","内","3399002B1026","プレタール散20%","シロスタゾール散","20%1g","大塚製薬","144.50","163.80","先発品","","","117763301","620005094","1","なし","3399002B1026","血液・体液用薬－その他の血液・体液用薬－その他","血液凝固阻止薬-内用(血小板凝集阻害薬)","シロスタゾール","2026/12"
"632","内","3399002F4019","シロスタゾールOD錠100mg「JG」","シロスタゾール100mg口腔内崩壊錠","100mg1錠","ダイト=日本ジェネリック","11.30","12.60","後発品","","","123479401","622347901","3","あり","3399002F4086","血液・体液用薬－その他の血液・体液用薬－その他","血液凝固阻止薬-内用(血小板凝集阻害薬)","シロスタゾール","-"
"633","内","3399003F1014","リマプロストアルファデクス錠5μg「サワイ」","リマプロスト アルファデクス5μg錠","5μg1錠","メディサ=沢井","8.90","9.90","後発品","処","","116941602","621694102","3","あり","3399003F1146","血液・体液用薬－その他の血液・体液用薬－その他","末梢循環改善薬-内用(プロスタグランジン系)","リマプロスト アルファデクス","2026/08"
"634","内","3399005F1021","ドルナー錠20μg","ベラプロストナトリウム錠","20μg1錠","東レ=トーアエイヨー","17.80","20.80","先発○","劇処","","108182403","613390023","2","あり","3399005F1021","血液・体液用薬－その他の血液・体液用薬－その他","末梢血管拡張薬-内用(プロスタグランジン系),肺高血圧症治療薬-内用(プロスタサイクリン系),血液凝固阻止薬-内用(血小板凝集阻害薬)","ベラプロストナトリウム","-"
"635","内","3399005F1030","プロサイリン錠20","ベラプロストナトリウム錠","20μg1錠","科研","19.20","22.40","先発○","劇処","","108183101","613390024","2","あり","3399005F1030","血液・体液用薬－その他の血液・体液用薬－その他","末梢血管拡張薬-内用(プロスタグランジン系),肺高血圧症治療薬-内用(プロスタサイクリン系),血液凝固阻止薬-内用(血小板凝集阻害薬)","ベラプロストナトリウム","-"
"636","内","3399006F1026","アンプラーグ錠50mg","サルポグレラート塩酸塩錠","50mg1錠","田辺ファーマ","29.30","34.10","先発○","","","108185503","613390026","2","あり","3399006F1026","血液・体液用薬－その他の血液・体液用薬－その他","末梢循環改善薬-内用(その他),血液凝固阻止薬-内用(血小板凝集阻害薬)","サルポグレラート塩酸塩","-"
"637","内","3399006F2022","アンプラーグ錠100mg","サルポグレラート塩酸塩錠","100mg1錠","田辺ファーマ","43.70","52.60","先発○","","","108186203","613390027","2","あり","3399006F2022","血液・体液用薬－その他の血液・体液用薬－その他","末梢循環改善薬-内用(その他),血液凝固阻止薬-内用(血小板凝集阻害薬)","サルポグレラート塩酸塩","-"
"638","内","3399007H1013","バイアスピリン錠100mg","アスピリン100mg腸溶錠","100mg1錠","バイエル","6.30","5.90","後発品","","","114191701","610443053","3","あり","3399007H1021","血液・体液用薬－その他の血液・体液用薬－その他","血液凝固阻止薬-内用(血小板凝集阻害薬)","アスピリン","-"
"639","内","3399008F2110","クロピドグレル錠75mg「SANIK」","クロピドグレル硫酸塩錠","75mg1錠","日医工","28.30","31.90","後発品","処","","124346801","622434601","3","あり","3399008F2110","血液・体液用薬－その他の血液・体液用薬－その他","血液凝固阻止薬-内用(血小板凝集阻害薬)","クロピドグレル硫酸塩","-"
"640","内","3399009F1020","エフィエント錠3.75mg","プラスグレル塩酸塩錠","3.75mg1錠","第一三共","237.00","248.80","先発○","処","","123366701","622336601","1","あり","3399009F1020","血液・体液用薬－その他の血液・体液用薬－その他","血液凝固阻止薬-内用(血小板凝集阻害薬)","プラスグレル塩酸塩","-"
"641","内","3399009F3022","エフィエント錠2.5mg","プラスグレル塩酸塩錠","2.5mg1錠","第一三共","169.90","178.00","先発○","処","","124523301","622452301","1","あり","3399009F3022","血液・体液用薬－その他の血液・体液用薬－その他","血液凝固阻止薬-内用(血小板凝集阻害薬)","プラスグレル塩酸塩","-"
